category,description,qualification,requirement,clean_description,Keywords
Data Scientist,"As a Data Scientist, your role involves close collaboration with product design and engineering teams to understand their needs. You will conduct research, devising innovative statistical models for data analysis, and subsequently build and integrate these models into our products. Effective communication of your findings to all stakeholders is crucial, contributing directly to decision-making processes. Additionally, your commitment to staying current with technical and industry developments is essential to ensuring ongoing innovation. If you are passionate about data analysis, enjoy collaboration, and thrive on contributing to product enhancement, we invite you to join our team where your insights will play a key role in shaping our products and processes.","Bachelor’s degree (or equivalent) in statistics, technology, applied mathematics, or related discipline.
Professional certification
3-5 years of experience in data science
Proficiency with data mining, mathematics, and statistical analysis
Advanced experience in pattern recognition and predictive modeling
Experience with Excel, PowerPoint, SQL, and Python
Experience in building data science models using Spacy, BERT, Ahocorasick, random forest etc.
Ability to work effectively in a dynamic, research-oriented group that has several concurrent projects.",,as a data scientist your role involves close collaboration with product design and engineering teams to understand their needs you will conduct research devising innovative statistical models for data analysis and subsequently build and integrate these models into our products effective communication of your findings to all stakeholders is crucial contributing directly to decisionmaking processes additionally your commitment to staying current with technical and industry developments is essential to ensuring ongoing innovation if you are passionate about data analysis enjoy collaboration and thrive on contributing to product enhancement we invite you to join our team where your insights will play a key role in shaping our products and processes,"['devising innovative statistical models', 'role involves close collaboration', 'ensuring ongoing innovation', 'key role', 'enjoy collaboration', 'subsequently build', 'staying current', 'product enhancement', 'product design', 'industry developments', 'engineering teams', 'effective communication', 'data scientist', 'data analysis', 'data analysis', 'conduct research', 'making processes', 'contributing directly', 'models', 'processes', 'contributing', 'understand', 'thrive', 'technical', 'team', 'stakeholders', 'shaping', 'products', 'products', 'play', 'passionate', 'needs', 'join', 'invite', 'integrate', 'insights', 'findings', 'essential', 'decision', 'crucial', 'commitment', 'additionally']"
Python Developer,"This is a full-time remote role for a Python Developer. The Python Developer will be responsible for developing software and web applications, including back-end web development and databases. The Developer will also be responsible for programming, testing, and debugging applications in adherence to software development life cycle (SDLC) standards.","Experience in Back-End Web Development and Software Development
Strong Object-Oriented Programming (OOP) skills
Experience with programming languages such as Python, Java, and C++
Experience in database design, development, and management
Strong problem-solving and analytical skills
Bachelor's degree in Computer Science, Software Engineering or related field
Experience working with Agile software development methodologies is a plus",Python Developer,this is a fulltime remote role for a python developer the python developer will be responsible for developing software and web applications including backend web development and databases the developer will also be responsible for programming testing and debugging applications in adherence to software development life cycle sdlc standards,"['software development life cycle', 'time remote role', 'end web development', 'developing software', 'web applications', 'including back', 'debugging applications', 'python developer', 'python developer', 'developer', 'testing', 'standards', 'sdlc', 'responsible', 'responsible', 'programming', 'full', 'databases', 'also', 'adherence']"
Python Developer,"As a Backend Software Developer at Think Huge Limited, you will play a crucial role in the development and maintenance of our hosting infrastructure, as well as creating and enhancing web applications. Your responsibilities will include collaborating with cross-functional teams, designing and implementing software solutions, and ensuring the scalability, performance, and reliability of our systems.
","Proven experience as a Backend Software Developer, with a strong focus on PHP and Python.
Commercial experience with Laravel and other PHP frameworks is highly beneficial.
Basic knowledge of servers, virtualization, and networking concepts, especially in a hosting environment.
Proficiency in Bash, Perl, and Python is a significant advantage.
Strong understanding of MySQL and database design principles.
Familiarity with Test-Driven Development (TDD) and experience using PHPUnit.
Proficiency with GitHub for version control and collaborative development.
Experience using Postman for API testing.
Excellent problem-solving skills and the ability to work well in a team.",,"as a backend software developer at think huge limited you will play a crucial role in the development and maintenance of our hosting infrastructure as well as creating and enhancing web applications your responsibilities will include collaborating with crossfunctional teams designing and implementing software solutions and ensuring the scalability performance and reliability of our systems
","['think huge limited', 'implementing software solutions', 'enhancing web applications', 'backend software developer', 'include collaborating', 'hosting infrastructure', 'functional teams', 'crucial role', 'well', 'systems', 'scalability', 'responsibilities', 'reliability', 'play', 'performance', 'maintenance', 'ensuring', 'development', 'designing', 'cross', 'creating']"
Business Analyst,"We are seeking a motivated and detail-oriented Business Analyst Intern to join our team. This internship provides a unique opportunity to gain hands-on experience in analyzing business processes, eliciting and documenting requirements, and contributing to the success of projects within a dynamic and collaborative environment.
","Currently pursuing a degree in Computer Science, Business Administration, Information Systems, or a related field.
 Enthusiastic about pursuing a career in business analysis.
 Strong attention to detail and organizational skills.
 Proficient in Microsoft Office tools (Excel, Word, PowerPoint).
 Eagerness to learn and adapt to new challenges."," Strong analytical and problem-solving skills.
 Excellent communication and interpersonal skills.
 Ability to work independently and collaboratively in a team.
 Basic understanding of business processes and systems.
 Eagerness to learn and contribute to various aspects of business analysis.","we are seeking a motivated and detailoriented business analyst intern to join our team this internship provides a unique opportunity to gain handson experience in analyzing business processes eliciting and documenting requirements and contributing to the success of projects within a dynamic and collaborative environment
","['oriented business analyst intern', 'analyzing business processes', 'unique opportunity', 'projects within', 'internship provides', 'gain hands', 'documenting requirements', 'collaborative environment', 'team', 'success', 'seeking', 'motivated', 'join', 'experience', 'eliciting', 'dynamic', 'detail', 'contributing']"
Software Developer,"We are seeking a software developer intern who is passionate about developing high-quality software products. The intern will work closely with the founding team to design, develop, test and deploy software solutions. This is a great opportunity for individuals who want to gain hands-on experience and learn from experienced professionals in the field.
","Previous experience in software development or related field
Familiarity with Agile/Scrum methodology
Strong communication skills","Pursuing a degree in Computer Science or related field
Strong programming skills in at least one programming language (Java, Python,C#,Rust etc.)
Familiarity with databases and SQL
Knowledge of software development life cycle (SDLC)
Excellent problem-solving skills
Ability to work in a team environment","we are seeking a software developer intern who is passionate about developing highquality software products the intern will work closely with the founding team to design develop test and deploy software solutions this is a great opportunity for individuals who want to gain handson experience and learn from experienced professionals in the field
","['quality software products', 'deploy software solutions', 'software developer intern', 'work closely', 'great opportunity', 'gain hands', 'founding team', 'experienced professionals', 'developing high', 'intern', 'want', 'test', 'seeking', 'passionate', 'learn', 'individuals', 'field', 'experience', 'develop', 'design']"
Machine Learning Engineer,We are seeking a visionary Machine Learning Engineer with a strong understanding of the Salesforce platform. This role presents a unique opportunity to combine your technical expertise with your Salesforce knowledge to create groundbreaking AI-powered solutions.,"MSc in Computer Science, Engineering, or related field (or equivalent experience).
7+ years of experience as a Machine Learning Engineer or similar role.
Comprehensive understanding of the Salesforce platform and Einstein capabilities.
Experience with Salesforce development tools and APIs.
Proficiency in Python and other relevant programming languages (R, SQL).
Strong understanding of machine learning algorithms, data preprocessing, and model evaluation.
Ability to translate business needs into technical requirements.
Excellent communication and collaboration skills.
Strong analytical and problem-solving abilities.
Passion for innovation and continuous learning. ",,we are seeking a visionary machine learning engineer with a strong understanding of the salesforce platform this role presents a unique opportunity to combine your technical expertise with your salesforce knowledge to create groundbreaking aipowered solutions,"['visionary machine learning engineer', 'create groundbreaking ai', 'unique opportunity', 'technical expertise', 'strong understanding', 'salesforce platform', 'salesforce knowledge', 'role presents', 'powered solutions', 'seeking', 'combine']"
Python Developer,"As a Python Developer at our company, you will play a key role in the design, development, and maintenance of high-quality software solutions. You will work closely with cross-functional teams to deliver innovative products that meet our clients' needs.
","Bachelor's or Master's degree in Computer Science, Engineering, or a related field.
Proven experience as a Python Developer or similar role.
Strong understanding of object-oriented programming and data structures.
Experience with SQL and database design.
Experience with version control systems, such as Git.
Familiarity with front-end technologies like HTML, CSS, and JavaScript.
Ability to work in a collaborative team environment.
Excellent problem-solving and analytical skills.
Experience with Agile methodologies and tools.
Knowledge of software testing and debugging.",,"as a python developer at our company you will play a key role in the design development and maintenance of highquality software solutions you will work closely with crossfunctional teams to deliver innovative products that meet our clients needs
","['quality software solutions', 'deliver innovative products', 'work closely', 'python developer', 'key role', 'functional teams', 'play', 'needs', 'meet', 'maintenance', 'high', 'development', 'design', 'cross', 'company', 'clients']"
DATA ENGINEER,"Aws data lake and AWS data hub and AWS cloud platform. Able to enrich data by data transformation and joining with other datasets. Able to analyze data and derive statistical insights. Able to convey story through data visualization. Ability to build Data pipelines for diverse interfaces. Good understating of API workflow. Good written and verbal communication skills Good Team player. Strong analytical and logical reasoning skills. Se If-motivated, Ability to complete assignments i independently. Ability to make decisions. Ability to work effectively under stress. Flexible towork in global time zones. Ability to work with wider spectrum of stakeholders and senior managements.",,,aws data lake and aws data hub and aws cloud platform able to enrich data by data transformation and joining with other datasets able to analyze data and derive statistical insights able to convey story through data visualization ability to build data pipelines for diverse interfaces good understating of api workflow good written and verbal communication skills good team player strong analytical and logical reasoning skills se ifmotivated ability to complete assignments i independently ability to make decisions ability to work effectively under stress flexible towork in global time zones ability to work with wider spectrum of stakeholders and senior managements,"['verbal communication skills good team player', 'logical reasoning skills', 'global time zones', 'derive statistical insights', 'aws cloud platform', 'build data pipelines', 'aws data lake', 'aws data hub', 'good written', 'good understating', 'enrich data', 'data visualization', 'data transformation', 'analyze data', 'wider spectrum', 'strong analytical', 'senior managements', 'make decisions', 'flexible towork', 'diverse interfaces', 'convey story', 'complete assignments', 'api workflow', 'work effectively', 'work', 'stress', 'stakeholders', 'se', 'motivated', 'joining', 'independently', 'datasets', 'able', 'able', 'able', 'ability', 'ability', 'ability', 'ability', 'ability']"
Full Stack Developer,"We are seeking a passionate and talented Entry-Level Full Stack Developer to join our dynamic team. In this role, you will have the opportunity to work on cutting-edge technologies and contribute to the development of high-quality web and mobile applications. Your primary focus will be on developing backend services using Node.js, Fastly, and Fauna, and building user-friendly front-end interfaces with Flutter and Dart.","Bachelor’s degree in Computer Science, Information Technology, or a related field (or equivalent experience).
Understanding of Node.js, Fastly, and Fauna for backend development.
Familiarity with Flutter and Dart for front-end development.
Strong problem-solving skills and attention to detail.
Eagerness to learn, adapt, and work in a fast-paced environment.
Good communication skills and ability to work effectively in a team.
Basic understanding of version control systems like Git.",,we are seeking a passionate and talented entrylevel full stack developer to join our dynamic team in this role you will have the opportunity to work on cuttingedge technologies and contribute to the development of highquality web and mobile applications your primary focus will be on developing backend services using nodejs fastly and fauna and building userfriendly frontend interfaces with flutter and dart,"['developing backend services using node', 'level full stack developer', 'talented entry', 'quality web', 'primary focus', 'mobile applications', 'friendly front', 'end interfaces', 'edge technologies', 'dynamic team', 'building user', 'work', 'seeking', 'role', 'passionate', 'opportunity', 'js', 'join', 'high', 'flutter', 'fauna', 'fastly', 'development', 'dart', 'cutting', 'contribute']"
AI Developer,"Candidates with 3+ year of experience into the same domain is preferred.

Salary hike will be given on the basis of previous experience and interview procedure and tasks.","A bachelors degree in computer science

Minimum 3+years of proficience in-hand experience in python.

Strong project management skills.

Hands on experience on other back-end languages such as react.js

Familiarity with database technologies of Machine learning.

Hands on experience of AI and ML libraries and frameworks such as TensorFlow, Scikit learn and PyTorch.",,"candidates with 3 year of experience into the same domain is preferred

salary hike will be given on the basis of previous experience and interview procedure and tasks","['salary hike', 'interview procedure', 'previous experience', 'experience', 'year', 'tasks', 'preferred', 'given', 'domain', 'candidates', 'basis', '3']"
